Papel,Segmento,Cotação,FFO_Yield,Dividend_Yield,P/VP,Valor_de_Mercado,Liquidez,Qtd_de_imóveis,Preço_do_m2,Aluguel_por_m2,Cap_Rate,Vacância_Média
CXCI11,Títulos e Val. Mob.,"77,57","12,25%","11,34%","0,84",159.618.000,106.219,0,"0,00","0,00","0,00%","0,00%"
CXCO11,Lajes Corporativas,"65,06","13,75%","11,34%","0,64",255.328.000,310.418,10,"2.760,84","408,82","14,81%","0,00%"
CXRI11,Títulos e Val. Mob.,"74,79","9,53%","8,88%","0,85",117.851.000,63.122,0,"0,00","0,00","0,00%","0,00%"
CXTL11,Logística,"219,00","11,11%","9,47%","0,55",11.737.700,4.247,1,"1.685,67","337,70","20,03%","0,00%"
DAMA11,Títulos e Val. Mob.,"9,70","1,60%","3,20%","0,99",44.817.600,36.94,0,"0,00","0,00","0,00%","0,00%"
DAMT11,Híbrido,"8,40","3,35%","1,79%","0,62",149.350.000,551,1,"1.963,27","107,01","5,45%","11,05%"
DCRA11,Títulos e Val. Mob.,"8,06","17,58%","14,47%","0,84",54.315.600,132.679,0,"0,00","0,00","0,00%","0,00%"
DEVA11,Títulos e Val. Mob.,"35,88","17,06%","15,95%","0,36",503.931.000,854.98,0,"0,00","0,00","0,00%","0,00%"
DPRO11,Híbrido,"6,02","10,36%","9,92%","0,65",30.119.400,13.201,1,"1.818,22","243,34","13,38%","0,00%"
DRIT11,Lajes Corporativas,"91,92","5,10%","13,15%","0,71",42.584.400,801,4,"7.055,98","639,98","9,07%","39,15%"
DVFF11,Híbrido,"7,10","0,26%","11,37%","0,80",78.167.400,37.542,0,"0,00","0,00","0,00%","0,00%"
EDFO11,Lajes Corporativas,"162,00","13,17%","11,23%","0,73",38.232.000,7.314,1,"107.600,00","15.442,32","14,35%","0,00%"
EDGA11,Lajes Corporativas,"18,21","5,53%","4,86%","0,29",69.417.500,26.492,1,"2.765,41","270,45","9,78%","24,56%"
EGAF11,Títulos e Val. Mob.,"89,78","13,91%","14,50%","0,91",281.183.000,669.257,0,"0,00","0,00","0,00%","0,00%"
EQIR11,Títulos e Val. Mob.,"8,70","8,66%","12,42%","0,89",94.911.000,145.381,0,"0,00","0,00","0,00%","0,00%"
ERPA11,Lajes Corporativas,"133,25","6,86%","6,73%","0,94",66.747.900,32.057,1,"19.725,20","1.525,92","7,74%","0,00%"
EURO11,Logística,"232,48","10,07%","8,44%","0,69",89.257.400,28.173,7,"754,76","84,08","11,14%","0,00%"
EVBI11,Híbrido,"9,40","4,84%","8,45%","0,95",392.379.000,1.691.920,5,"7.601,99","754,18","9,92%","1,51%"
EXES11,Títulos e Val. Mob.,"9,58","8,07%","9,73%","1,04",68.070.200,13.677,0,"0,00","0,00","0,00%","0,00%"
FAED11,Outros,"145,00","12,15%","11,74%","0,66",100.395.000,89.033,4,"2.175,83","282,40","12,98%","0,00%"
FAMB11,Lajes Corporativas,"1.832,90","-3,17%","0,00%","0,85",224.600.000,333.766,1,"3.744,10","53,55","1,43%","89,31%"
FATN11,Híbrido,"90,15","7,19%","10,57%","0,88",309.446.000,632.853,51,"22.747,50","1.692,33","7,44%","3,36%"
FCFL11,Outros,"113,09","8,97%","8,60%","0,92",392.876.000,209.982,1,"12.560,70","1.184,04","9,43%","0,00%"
FGAA11,Híbrido,"8,29","14,65%","14,16%","0,86",373.725.000,1.370.520,0,"0,00","0,00","0,00%","0,00%"
